,Name,Review Rate,Review Time,Review Text
54,The Coffee Company, 5 stars ,4 years ago,"Nice place, good coffee, nice staff!!"
55,The Coffee Company, 5 stars ,9 years ago,Nice coffee shop. Good coffee.  Go for a funky monkey.
56,The Coffee Company, 5 stars ,4 years ago,Delicious coffee and friendly service!
57,The Coffee Company, 5 stars ,3 years ago,Great place to work. Can get quite busy in the day.
58,The Coffee Company, 5 stars ,3 years ago,Nice coffee as well as cozy place
59,The Coffee Company, 5 stars ,3 years ago,Very nice. They have vegan options.
60,The Coffee Company, 5 stars ,4 years ago,Fantastic service and nice quiet coffee place
61,The Coffee Company, 5 stars ,5 years ago,Good coffee and speedy service for Holland
62,The Coffee Company, 4 stars ,4 years ago,Good for coffe and a place to work.
63,The Coffee Company, 4 stars ,2 years ago,nice iced latte
64,The Coffee Company, 5 stars ,9 years ago,"Free water, free internet , good coffee"
65,The Coffee Company, 5 stars ,3 years ago,The hot chocolate was exceptional.
66,The Coffee Company, 4 stars ,3 years ago,Beautiful place to drink a coffee and relax
67,The Coffee Company, 4 stars ,a year ago,Good coffee!
68,The Coffee Company, 5 stars ,a year ago,Love the coffee
69,The Coffee Company, 5 stars ,3 years ago,Grate coffy. Good vibe
70,The Coffee Company, 4 stars ,2 years ago,Really good latte
71,The Coffee Company, 5 stars ,11 months ago,Good coffee
72,The Coffee Company, 5 stars ,4 years ago,Good coffee ☕️👌
73,The Coffee Company, 1 star ,a year ago,Service very bad
74,The Coffee Company, 5 stars ,2 years ago,Great for breakfast....
75,The Coffee Company, 5 stars ,7 years ago,Aeropress is the best
76,The Coffee Company, 5 stars ,4 years ago,Awesome coffee
77,The Coffee Company, 4 stars ,4 years ago,Quite expensive
78,The Coffee Company, 3 stars ,a month ago,(Translated by Google) The coffees are a bit expensive. For a small cup almost 4 euros. …
79,The Coffee Company, 5 stars ,a year ago,(Translated by Google) Delicious vegan coffee and the breakfast pot matcha chia pudding is lactose free. Unfortunately not vegan (contains honey). Service is fast and good. Nice atmosphere in the cafe and is centrally located. …
80,The Coffee Company, 5 stars ,3 months ago,"(Translated by Google) Very nice service, our gift card did not work and it was treated very leniently. …"
81,The Coffee Company, 5 stars ,6 months ago,(Translated by Google) Very nice this little cafe! The drinks are delicious and the piped music is very relaxed 👌🏻 …
82,The Coffee Company, 3 stars ,2 years ago,(Translated by Google) Nice coffee in a trendy decorated cafe. Large table in the middle of the case invites you to work with a laptop. …
83,The Coffee Company, 5 stars ,7 months ago,"(Translated by Google) Friendly barista, good coffee. Only address that is open in the morning in this touristic part of Amsterdam 🤷‍♂️ …"
84,The Coffee Company, 5 stars ,2 years ago,"(Translated by Google) Large room, with a large table in the center where you can stop for a long time sipping a hot drink (in Amsterdam it's cold). Many young people, university students, work on computers. For those who make a shorter …"
85,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) Have a coffee today, good latte Macchiato. When it comes to the choice of cakes, that's good. Can also work on a table on your laptop. You can also go to the toilet here. Beverage choice is well-arranged, with filter …"
86,The Coffee Company, 4 stars ,5 months ago,"(Translated by Google) Good coffee and nice atmosphere.

(Original) …"
87,The Coffee Company, 4 stars ,4 years ago,"(Translated by Google) If you don't want to spend your time in Starbucks while your phone is charging, that's a nice cozy alternative! …"
88,The Coffee Company, 5 stars ,5 months ago,"(Translated by Google) Excellent coffee, comfortable place

(Original)
قهوته ممتازة والمكان مريح"
89,The Coffee Company, 3 stars ,3 years ago,"(Translated by Google) Tiny Coffee Company, but if you can find a spot fine to sit and have a drink. Better coffee and drinks than the nearby Starbucks.
Staff often behave as if they have just had a long night out. Maybe they are …"
90,The Coffee Company, 1 star ,5 years ago,"(Translated by Google) I wanted to get a Latte but unfortunately only had € 50 with me. There was a sigh behind the counter and moaned with the words: ""It must be then"" …"
91,The Coffee Company, 4 stars ,a year ago,"(Translated by Google) Friendly service and always a nice cup of coffee at the coffee company
With the customer card, the coffee also has a nice discount …"
92,The Coffee Company, 5 stars ,6 months ago,"(Translated by Google) It's not crowded, you can sit comfortably

(Original) …"
93,The Coffee Company, 1 star ,10 years ago,"(Translated by Google) It was completely empty today (Sunday). Ok, one person in front of me in the queue and two people working behind the counter. After exactly 5 minutes waiting on the left, cause it apparently was too much trouble to …"
94,The Coffee Company, 4 stars ,3 years ago,"(Translated by Google) Neat business, friendly crew.
Very nice coffee, and delicious large cups of tea made from fresh herbs for To Go. …"
95,The Coffee Company, 4 stars ,5 years ago,(Translated by Google) Nice coffee and friendly staff. There is also WiFi available. It is not that big so you sometimes have no free places. …
96,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) Nice coffee, busy cafe where you can work or just relax during a day in Amsterdam. …"
97,The Coffee Company, 5 stars ,4 years ago,"(Translated by Google) Just a nice place for good coffee, good staff and acceptable WiFi. Ideal office for freelancers. …"
98,The Coffee Company, 4 stars ,3 years ago,"(Translated by Google) Very good cafe, excellent connection to Wiffi. Prices are around 2.5 - 3.0 € per coffee. …"
99,The Coffee Company, 5 stars ,2 years ago,"(Translated by Google) Great coffee, exceptionally nice staff :)

(Original) …"
100,The Coffee Company, 4 stars ,3 years ago,"(Translated by Google) The caped iced was delicious. The place calls for silence, a reading and work environment. …"
101,The Coffee Company, 4 stars ,2 years ago,(Translated by Google) Modest CC. Location is so so. Very good staff !! And nice. …
102,The Coffee Company, 3 stars ,5 years ago,"(Translated by Google) Kind of Starbucks hipster to death, nice although quite expensive …"
103,The Coffee Company, 5 stars ,2 years ago,"(Translated by Google) Great coffee and fantastic apple pie 😍

(Original) …"
104,The Coffee Company, 4 stars ,3 years ago,(Translated by Google) A nice and inviting quiet place - coffee with an industrial taste …
105,The Coffee Company, 5 stars ,3 years ago,(Translated by Google) I love I love I love! Super nice vendors and super good cafes !! …
106,The Coffee Company, 4 stars ,4 years ago,"(Translated by Google) Good coffee, informal atmosphere, good WiFi

(Original) …"
107,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) Good but expensive. Welcoming and smiling staff

(Original) …"
108,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) The Seller is not at all pleasant.

(Original) …"
109,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) Good breakfast, vegan food, for hip people

(Original) …"
110,The Coffee Company, 1 star ,a year ago,"(Translated by Google) Bad coffee !!! Straight over to Starbucks ...

(Original) …"
111,The Coffee Company, 5 stars ,5 months ago,"(Translated by Google) good coffee

(Original)
goede koffie"
112,The Coffee Company, 2 stars ,3 years ago,"(Translated by Google) Moderately expensive and you yourself, get coffee

(Original) …"
113,The Coffee Company, 1 star ,3 years ago,"(Translated by Google) Girls are only involved with each other.

(Original) …"
114,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) Good coffee. Relaxed workplace.

(Original) …"
115,The Coffee Company, 3 stars ,a year ago,"(Translated by Google) Good fast service!

(Original)
Goede snelle service!"
116,The Coffee Company, 4 stars ,4 years ago,"(Translated by Google) Great place for coffee.

(Original)
Prima plek voor koffie."
117,The Coffee Company, 5 stars ,a year ago,"(Translated by Google) The nicest coffee company 💙

(Original) …"
118,The Coffee Company, 5 stars ,3 years ago,"(Translated by Google) Cozy nice place

(Original)
Gezellig leuke plek"
119,The Coffee Company, 5 stars ,4 years ago,"(Translated by Google) Just good coffee

(Original)
Gewoon goeie koffie"
