,Name,Review Rate,Review Time,Review Text
0,Shabu Shabu, 5 stars ,4 years ago,"The concept of ""all you can eat"" is just awesome. You pay 27€ and eat non stop for 2 hours. Food was also awesome. Fresh and tasty. Your orders are delivered very fast. …"
1,Shabu Shabu, 5 stars ,3 years ago,"The service is good, the location and the restaurant is ok, so big and spacious, not busy for weekdays and all you can eat is not bad.. They offer this buffet for dessert and not bad at all even the brownies"
2,Shabu Shabu, 4 stars ,3 years ago,Food is delicious!! The staff were really nice and even took pictures of us. They were also kind enough to let us switch to another table.The only downside is that the drinks were on the expensive side (But also really delicious to be …
3,Shabu Shabu, 5 stars ,2 years ago,"We were a bit sceptical because some of the reviews were not the best, but we tried. And we were so positively surprised. Extremely nice staff and actually very good sushi. The service is also very fast. Definitely recommend!"
4,Shabu Shabu, 4 stars ,4 years ago,"If you are hungry, then yes. We really enjoyed our time from this restaurant on the other location so we wanted to try here too. Since we were so hungry and we usually eat a lot so this kind of restaurant was good choice for us to afford …"
5,Shabu Shabu, 5 stars ,2 years ago,Very tasty food. We were there on Christmas Day and it was a little pricy (38 euro/person). The staff is really helpful and friendly. Definitely recommend going there.
6,Shabu Shabu, 5 stars ,3 years ago,"This place is very good option if you are hungry but you want light food to enjoy in it.
Cozy and comfy place, very good service, kind staff. …"
7,Shabu Shabu, 4 stars ,3 years ago,"Tasty food , really nice sushi , I always go to this sushi caffe in Amsterdam. I give 4 stars , because deserts are not tasty. They charge a lot of money, for desert they could put normal cakes."
8,Shabu Shabu, 4 stars ,4 years ago,Nice location and the place is nicely decorated. Service is kinda slow and sometimes you get a waiter giving you the food with little care. …
9,Shabu Shabu, 1 star ,2 years ago,Attended here very recently and from the outside and decent lengthly fresh menu I thought I would be in for a delicious meal. …
10,Shabu Shabu, 5 stars ,3 years ago,"All you can eat!!  Good price excellent sushi 🍥 🍣! 18,50€ for guest."
11,Shabu Shabu, 5 stars ,3 years ago,Nice place. You can have all you can eat fare for 17 euros. Sushi tastes nice.
12,Shabu Shabu, 5 stars ,3 years ago,We enjoyed our food very much.  The staff were very friendly and helpful :-)
13,Shabu Shabu, 5 stars ,3 years ago,"Very nice sushi, the best nigiris I’ve ever tasted! Friendly staff, beautiful place... definitely a good place if you love sushi.
The best you can do is order a mix menu, otherwise your sushi will cost you a lot of money."
14,Shabu Shabu, 5 stars ,2 years ago,"Amazing restaurant, nice people and the best sushi ever!!"
15,Shabu Shabu, 5 stars ,3 years ago,"Quick to be seated and served. Food tastes amazing, drinks were a little pricy however. Place was clean, and quiet enough to relax after a long day of sightseeing"
16,Shabu Shabu, 3 stars ,4 years ago,So many small dishes to choose from. Not that quality food one expects. I like the deep fried buffalo wings though.
17,Shabu Shabu, 4 stars ,2 years ago,"Delicious food and super quick service! Lots of different options on the menu, and you can either get individual rolls or pick one of the sets."
18,Shabu Shabu, 5 stars ,3 years ago,My favorite restaurant in the city! You can order using a tablet! The taste is amazing and the dessert buffet is awesome!
